[26-05-2015 18:33:01] Contest set to ILSVRC

[26-05-2015 18:33:01] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 18:33:08] Metadata loaded succesfully!

[26-05-2015 18:33:08] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 18:33:09] Objects filepaths indexer loaded succesfully!
[26-05-2015 18:33:31] iter: 1/935 | epoch 0/200 | mse: 0.994996249675751
[26-05-2015 18:33:41] iter: 2/935 | epoch 0/200 | mse: 0.994969725608826
[26-05-2015 18:33:50] iter: 3/935 | epoch 0/200 | mse: 0.994923055171967
[26-05-2015 18:34:00] iter: 4/935 | epoch 0/200 | mse: 0.994856715202332
[26-05-2015 18:34:09] iter: 5/935 | epoch 0/200 | mse: 0.994778692722321
[26-05-2015 18:34:19] iter: 6/935 | epoch 0/200 | mse: 0.994691133499146
[26-05-2015 18:34:29] iter: 7/935 | epoch 0/200 | mse: 0.994586110115051
[26-05-2015 18:34:39] iter: 8/935 | epoch 0/200 | mse: 0.994491040706635
[26-05-2015 18:34:48] iter: 9/935 | epoch 0/200 | mse: 0.994270265102386
[26-05-2015 18:34:58] iter: 10/935 | epoch 0/200 | mse: 0.994193196296692
[26-05-2015 18:35:07] iter: 11/935 | epoch 0/200 | mse: 0.993974328041077
[26-05-2015 18:35:17] iter: 12/935 | epoch 0/200 | mse: 0.993660688400269
[26-05-2015 18:35:27] iter: 13/935 | epoch 0/200 | mse: 0.993843853473663
[26-05-2015 18:35:37] iter: 14/935 | epoch 0/200 | mse: 0.993867278099060
[26-05-2015 18:35:46] iter: 15/935 | epoch 0/200 | mse: 0.993878304958344
[26-05-2015 18:35:56] iter: 16/935 | epoch 0/200 | mse: 0.993859469890594
[26-05-2015 18:36:06] iter: 17/935 | epoch 0/200 | mse: 0.993465662002563
[26-05-2015 18:36:15] iter: 18/935 | epoch 0/200 | mse: 0.993152916431427
[26-05-2015 18:36:25] iter: 19/935 | epoch 0/200 | mse: 0.992968380451202
[26-05-2015 18:36:35] iter: 20/935 | epoch 0/200 | mse: 0.992091536521912
[26-05-2015 18:36:45] iter: 21/935 | epoch 0/200 | mse: 0.991703867912292
[26-05-2015 18:36:54] iter: 22/935 | epoch 0/200 | mse: 0.990476787090302
[26-05-2015 18:37:04] iter: 23/935 | epoch 0/200 | mse: 0.989257216453552
[26-05-2015 18:37:13] iter: 24/935 | epoch 0/200 | mse: 0.987970471382141
[26-05-2015 18:37:23] iter: 25/935 | epoch 0/200 | mse: 0.988484025001526
[26-05-2015 18:37:33] iter: 26/935 | epoch 0/200 | mse: 0.988543868064880
[26-05-2015 18:37:42] iter: 27/935 | epoch 0/200 | mse: 0.988308191299438
[26-05-2015 18:37:52] iter: 28/935 | epoch 0/200 | mse: 0.989114940166473
[26-05-2015 18:38:02] iter: 29/935 | epoch 0/200 | mse: 0.987728118896484
[26-05-2015 18:38:11] iter: 30/935 | epoch 0/200 | mse: 0.988759279251099
[26-05-2015 18:38:21] iter: 31/935 | epoch 0/200 | mse: 0.988751113414764
[26-05-2015 18:38:31] iter: 32/935 | epoch 0/200 | mse: 0.988282978534698
[26-05-2015 18:38:41] iter: 33/935 | epoch 0/200 | mse: 0.987641096115112
[26-05-2015 18:38:51] iter: 34/935 | epoch 0/200 | mse: 0.988576889038086
