[26-05-2015 20:45:25] Contest set to ILSVRC

[26-05-2015 20:45:25] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 20:45:31] Metadata loaded succesfully!

[26-05-2015 20:45:31] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 20:45:33] Objects filepaths indexer loaded succesfully!
[26-05-2015 20:45:43] iter: 1/7481 | epoch 0/200 | error: 0.994996190071106
[26-05-2015 20:45:45] iter: 2/7481 | epoch 0/200 | error: 0.994994103908539
[26-05-2015 20:45:47] iter: 3/7481 | epoch 0/200 | error: 0.994992494583130
[26-05-2015 20:45:48] iter: 4/7481 | epoch 0/200 | error: 0.994989752769470
[26-05-2015 20:45:50] iter: 5/7481 | epoch 0/200 | error: 0.994982123374939
[26-05-2015 20:45:51] iter: 6/7481 | epoch 0/200 | error: 0.994979977607727
[26-05-2015 20:45:53] iter: 7/7481 | epoch 0/200 | error: 0.994966268539429
[26-05-2015 20:45:54] iter: 8/7481 | epoch 0/200 | error: 0.994969725608826
[26-05-2015 20:45:56] iter: 9/7481 | epoch 0/200 | error: 0.994951188564301
[26-05-2015 20:45:57] iter: 10/7481 | epoch 0/200 | error: 0.994956135749817
[26-05-2015 20:45:59] iter: 11/7481 | epoch 0/200 | error: 0.994934856891632
[26-05-2015 20:46:00] iter: 12/7481 | epoch 0/200 | error: 0.994925796985626
[26-05-2015 20:46:02] iter: 13/7481 | epoch 0/200 | error: 0.994899868965149
[26-05-2015 20:46:03] iter: 14/7481 | epoch 0/200 | error: 0.994903147220612
[26-05-2015 20:46:05] iter: 15/7481 | epoch 0/200 | error: 0.994903266429901
[26-05-2015 20:46:06] iter: 16/7481 | epoch 0/200 | error: 0.994890153408051
[26-05-2015 20:46:08] iter: 17/7481 | epoch 0/200 | error: 0.994884133338928
[26-05-2015 20:46:10] iter: 18/7481 | epoch 0/200 | error: 0.994888484477997
[26-05-2015 20:46:11] iter: 19/7481 | epoch 0/200 | error: 0.994855999946594
[26-05-2015 20:46:13] iter: 20/7481 | epoch 0/200 | error: 0.994846165180206
[26-05-2015 20:46:14] iter: 21/7481 | epoch 0/200 | error: 0.994808137416840
[26-05-2015 20:46:16] iter: 22/7481 | epoch 0/200 | error: 0.994888305664062
[26-05-2015 20:46:17] iter: 23/7481 | epoch 0/200 | error: 0.994849443435669
[26-05-2015 20:46:19] iter: 24/7481 | epoch 0/200 | error: 0.994821906089783
[26-05-2015 20:46:20] iter: 25/7481 | epoch 0/200 | error: 0.994788110256195
[26-05-2015 20:46:22] iter: 26/7481 | epoch 0/200 | error: 0.994784712791443
[26-05-2015 20:46:23] iter: 27/7481 | epoch 0/200 | error: 0.994824349880219
[26-05-2015 20:46:25] iter: 28/7481 | epoch 0/200 | error: 0.994811058044434
[26-05-2015 20:46:26] iter: 29/7481 | epoch 0/200 | error: 0.994787871837616
[26-05-2015 20:46:28] iter: 30/7481 | epoch 0/200 | error: 0.994773030281067
