[28-05-2015 22:22:33] Contest set to ILSVRC

[28-05-2015 22:22:33] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[28-05-2015 22:22:40] Metadata loaded succesfully!

[28-05-2015 22:22:40] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[28-05-2015 22:22:41] Objects filepaths indexer loaded succesfully!

[28-05-2015 22:22:46] TRAINING
------------------------------
[28-05-2015 22:22:52] iter: 1/3740 | epoch 0/200 | error: 0.995011091232300
[28-05-2015 22:22:59] iter: 2/3740 | epoch 0/200 | error: 0.994959771633148
[28-05-2015 22:23:04] iter: 3/3740 | epoch 0/200 | error: 0.994887828826904
[28-05-2015 22:23:10] iter: 4/3740 | epoch 0/200 | error: 0.994743704795837
[28-05-2015 22:23:16] iter: 5/3740 | epoch 0/200 | error: 0.994452714920044

[28-05-2015 22:23:16] VALIDATING
--------------------------------
[28-05-2015 22:23:18] validation error: 0.995156943798065 accuracy: 0.000000%
[28-05-2015 22:23:19] validation error: 0.995401263237000 accuracy: 0.000000%
[28-05-2015 22:23:20] validation error: 0.995458900928497 accuracy: 0.000000%
[28-05-2015 22:23:22] validation error: 0.995450615882874 accuracy: 0.000000%
[28-05-2015 22:23:23] validation error: 0.995511054992676 accuracy: 0.000000%
[28-05-2015 22:23:25] validation error: 0.995585858821869 accuracy: 0.000000%
[28-05-2015 22:23:26] validation error: 0.995320796966553 accuracy: 0.000000%
[28-05-2015 22:23:27] validation error: 0.995279848575592 accuracy: 0.000000%
[28-05-2015 22:23:29] validation error: 0.995333373546600 accuracy: 0.000000%
[28-05-2015 22:23:30] validation error: 0.995332062244415 accuracy: 0.000000%
[28-05-2015 22:23:32] validation error: 0.995298564434052 accuracy: 0.000000%
[28-05-2015 22:23:33] validation error: 0.995378971099854 accuracy: 0.000000%
[28-05-2015 22:23:34] validation error: 0.995431900024414 accuracy: 0.000000%
